hydrogen    H    1
sodium     Na    1
silver     Ag    1
potassium   K    1
lithium    Li    1
ammonium   NH4   1
barium     Ba    2
calcium    Ca    2
copper2    Cu    2
magnesium  Mg    2
zinc       Zn    2
lead       Pb    2
iron2      Fe    2
iron3      Fe    3
aluminum   Al    3
chloride   Cl   -1
bromide    Br   -1
flouride    F   -1
iodide      I   -1
hydroxide  OH   -1
nitrate    NO3  -1
oxide       O   -2
sulphide    S   -2
sulphate   SO4  -2
carbonate  CO3  -2
